country_clean,squad_size,matched_players,unmatched_players,coverage,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Pass,Player Off,Player On,Pressure,Shield,Shot,Error,Offside,Own Goal Against,Camera On,Own Goal For
Algeria,26,13,13,0.5,9.0,1.0,1753.0,135.0,56.0,1570.0,51.0,35.0,37.0,22.0,87.0,54.0,43.0,0.0,31.0,31.0,1875.0,3.0,3.0,471.0,2.0,33.0,2.0,2.0,1.0,0.0,0.0
Argentina,26,20,6,0.7692307692307693,91.0,28.0,26859.0,1799.0,591.0,23232.0,449.0,632.0,1170.0,329.0,963.0,444.0,801.0,911.0,313.0,507.0,27016.0,18.0,18.0,4893.0,19.0,1022.0,11.0,5.0,2.0,0.0,0.0
Australia,26,8,18,0.3076923076923077,8.0,1.0,1538.0,178.0,86.0,1206.0,74.0,55.0,71.0,42.0,111.0,47.0,42.0,135.0,32.0,58.0,1666.0,1.0,1.0,538.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0
Austria,26,20,6,0.7692307692307693,43.0,4.0,4846.0,508.0,222.0,4088.0,156.0,126.0,122.0,109.0,347.0,152.0,120.0,75.0,115.0,119.0,4941.0,3.0,3.0,1916.0,6.0,139.0,3.0,1.0,0.0,0.0,0.0
Belgium,26,15,11,0.5769230769230769,23.0,1.0,5399.0,509.0,159.0,4688.0,121.0,120.0,192.0,82.0,222.0,144.0,125.0,324.0,70.0,147.0,5630.0,2.0,2.0,1477.0,5.0,142.0,4.0,1.0,0.0,0.0,0.0
Bosnia And Herzegovina,26,2,24,0.07692307692307693,3.0,0.0,802.0,96.0,42.0,626.0,41.0,12.0,28.0,19.0,92.0,42.0,22.0,0.0,29.0,20.0,1066.0,0.0,0.0,388.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0
Brazil,26,18,8,0.6923076923076923,30.0,9.0,8966.0,704.0,240.0,7968.0,224.0,217.0,386.0,115.0,386.0,185.0,281.0,163.0,126.0,195.0,9219.0,12.0,12.0,1902.0,10.0,235.0,4.0,5.0,0.0,0.0,0.0
Cabo Verde,26,15,11,0.5769230769230769,8.0,1.0,1858.0,209.0,81.0,1526.0,79.0,51.0,73.0,36.0,125.0,63.0,61.0,90.0,40.0,64.0,1878.0,6.0,6.0,563.0,5.0,56.0,1.0,0.0,0.0,0.0,0.0
Canada,26,19,7,0.7307692307692307,37.0,6.0,4030.0,470.0,200.0,3434.0,176.0,135.0,201.0,76.0,283.0,151.0,126.0,144.0,90.0,170.0,4230.0,8.0,8.0,1712.0,3.0,136.0,1.0,1.0,0.0,0.0,0.0
Colombia,26,20,6,0.7692307692307693,41.0,6.0,4418.0,498.0,166.0,3906.0,147.0,103.0,162.0,84.0,332.0,156.0,153.0,149.0,88.0,133.0,4988.0,6.0,6.0,1396.0,10.0,124.0,4.0,5.0,0.0,0.0,0.0
Congo DR,26,17,9,0.6538461538461539,24.0,2.0,2862.0,324.0,103.0,2252.0,124.0,68.0,99.0,48.0,221.0,117.0,100.0,77.0,41.0,87.0,2822.0,3.0,3.0,1116.0,7.0,116.0,1.0,0.0,0.0,0.0,0.0
Croatia,26,15,11,0.5769230769230769,27.0,5.0,8464.0,676.0,247.0,7239.0,194.0,166.0,270.0,119.0,438.0,190.0,193.0,228.0,166.0,197.0,8532.0,5.0,5.0,2452.0,14.0,242.0,1.0,2.0,0.0,0.0,0.0
Curaçao,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,26,19,7,0.7307692307692307,20.0,4.0,2997.0,308.0,129.0,2104.0,146.0,92.0,93.0,55.0,295.0,107.0,79.0,55.0,72.0,117.0,2683.0,4.0,4.0,1121.0,4.0,145.0,1.0,2.0,1.0,0.0,0.0
Côte D'Ivoire,26,17,9,0.6538461538461539,30.0,7.0,4819.0,615.0,138.0,4579.0,163.0,100.0,125.0,51.0,247.0,129.0,156.0,512.0,85.0,92.0,5893.0,6.0,6.0,1061.0,10.0,90.0,4.0,3.0,0.0,0.0,0.0
Ecuador,26,16,10,0.6153846153846154,22.0,3.0,4078.0,415.0,198.0,3588.0,241.0,96.0,112.0,54.0,361.0,125.0,109.0,29.0,100.0,97.0,4614.0,13.0,13.0,1254.0,10.0,113.0,1.0,5.0,0.0,0.0,0.0
Egypt,26,12,14,0.46153846153846156,6.0,0.0,1319.0,140.0,42.0,1115.0,40.0,30.0,44.0,28.0,62.0,38.0,40.0,64.0,29.0,28.0,1353.0,0.0,0.0,404.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
England,26,17,9,0.6538461538461539,26.0,1.0,7784.0,598.0,203.0,6644.0,190.0,125.0,176.0,68.0,394.0,129.0,208.0,335.0,97.0,147.0,7907.0,6.0,6.0,1754.0,11.0,177.0,2.0,1.0,0.0,0.0,0.0
France,26,22,4,0.8461538461538461,56.0,11.0,15856.0,1033.0,475.0,13634.0,341.0,382.0,834.0,169.0,633.0,325.0,394.0,159.0,311.0,393.0,15275.0,19.0,19.0,3755.0,23.0,531.0,9.0,3.0,0.0,0.0,0.0
Germany,26,22,4,0.8461538461538461,62.0,15.0,16040.0,1611.0,485.0,14151.0,383.0,432.0,623.0,227.0,736.0,331.0,352.0,920.0,224.0,433.0,16707.0,8.0,8.0,4289.0,14.0,465.0,10.0,4.0,4.0,0.0,0.0
Ghana,26,12,14,0.46153846153846156,7.0,2.0,1230.0,132.0,51.0,978.0,50.0,47.0,60.0,31.0,116.0,68.0,49.0,50.0,35.0,51.0,1202.0,2.0,2.0,489.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0
Haiti,26,3,23,0.11538461538461539,1.0,0.0,214.0,16.0,9.0,185.0,5.0,6.0,7.0,2.0,4.0,6.0,9.0,14.0,4.0,5.0,231.0,0.0,0.0,90.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
IR Iran,26,12,14,0.46153846153846156,4.0,2.0,800.0,142.0,65.0,680.0,39.0,16.0,36.0,49.0,101.0,44.0,45.0,100.0,40.0,31.0,1037.0,1.0,1.0,505.0,3.0,31.0,1.0,0.0,0.0,0.0,0.0
Iraq,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,26,12,14,0.46153846153846156,7.0,0.0,1266.0,117.0,80.0,1039.0,68.0,36.0,57.0,30.0,106.0,42.0,35.0,0.0,45.0,42.0,1322.0,1.0,1.0,625.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0
Jordan,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Korea Republic,26,11,15,0.4230769230769231,6.0,1.0,1764.0,188.0,67.0,1469.0,54.0,56.0,71.0,51.0,105.0,42.0,40.0,130.0,40.0,54.0,1791.0,3.0,3.0,615.0,0.0,65.0,2.0,1.0,0.0,0.0,0.0
Mexico,26,17,9,0.6538461538461539,20.0,1.0,2376.0,305.0,108.0,2028.0,127.0,72.0,80.0,49.0,184.0,82.0,59.0,124.0,59.0,58.0,2738.0,2.0,2.0,765.0,9.0,83.0,1.0,2.0,1.0,0.0,0.0
Morocco,26,9,17,0.34615384615384615,19.0,8.0,4499.0,481.0,155.0,4073.0,209.0,85.0,124.0,97.0,311.0,135.0,109.0,180.0,114.0,91.0,5280.0,4.0,4.0,1397.0,15.0,67.0,1.0,1.0,0.0,0.0,0.0
Netherlands,26,16,10,0.6153846153846154,23.0,14.0,6783.0,401.0,240.0,5233.0,249.0,180.0,195.0,95.0,416.0,217.0,162.0,95.0,127.0,172.0,6602.0,3.0,3.0,1913.0,14.0,186.0,5.0,9.0,1.0,0.0,0.0
New Zealand,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,26,2,24,0.07692307692307693,1.0,0.0,65.0,15.0,7.0,74.0,6.0,4.0,3.0,2.0,9.0,1.0,6.0,0.0,4.0,4.0,81.0,0.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Panama,26,17,9,0.6538461538461539,12.0,2.0,2068.0,202.0,63.0,1785.0,73.0,44.0,65.0,34.0,126.0,81.0,82.0,50.0,49.0,57.0,2191.0,5.0,5.0,668.0,1.0,52.0,4.0,1.0,0.0,0.0,0.0
Paraguay,26,12,14,0.46153846153846156,13.0,4.0,2232.0,204.0,76.0,1464.0,42.0,78.0,101.0,42.0,312.0,83.0,79.0,0.0,40.0,131.0,1655.0,2.0,2.0,843.0,5.0,93.0,2.0,7.0,0.0,0.0,0.0
Portugal,26,22,4,0.8461538461538461,34.0,7.0,13021.0,932.0,344.0,11363.0,246.0,266.0,491.0,190.0,572.0,234.0,337.0,208.0,189.0,265.0,13139.0,8.0,8.0,2793.0,13.0,329.0,3.0,5.0,2.0,0.0,0.0
Qatar,26,12,14,0.46153846153846156,13.0,0.0,1402.0,144.0,34.0,1106.0,47.0,32.0,41.0,23.0,84.0,36.0,45.0,46.0,25.0,39.0,1440.0,4.0,4.0,410.0,5.0,15.0,1.0,1.0,0.0,0.0,0.0
Saudi Arabia,26,9,17,0.34615384615384615,14.0,4.0,1090.0,160.0,46.0,899.0,60.0,22.0,58.0,14.0,111.0,52.0,45.0,101.0,32.0,57.0,1132.0,4.0,4.0,378.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0
Scotland,26,15,11,0.5769230769230769,20.0,3.0,2202.0,229.0,100.0,1648.0,138.0,55.0,52.0,41.0,196.0,76.0,86.0,98.0,64.0,68.0,2252.0,3.0,3.0,920.0,3.0,51.0,4.0,0.0,0.0,0.0,0.0
Senegal,26,19,7,0.7307692307692307,29.0,0.0,5191.0,529.0,192.0,4292.0,228.0,158.0,162.0,99.0,335.0,184.0,200.0,224.0,111.0,151.0,5524.0,11.0,11.0,2066.0,12.0,140.0,0.0,5.0,0.0,0.0,0.0
South Africa,26,11,15,0.4230769230769231,13.0,0.0,2391.0,298.0,107.0,2103.0,77.0,78.0,79.0,36.0,158.0,74.0,95.0,165.0,45.0,65.0,2582.0,6.0,6.0,821.0,4.0,61.0,2.0,0.0,0.0,0.0,0.0
Spain,26,21,5,0.8076923076923077,43.0,7.0,16351.0,1226.0,471.0,14164.0,277.0,309.0,480.0,244.0,662.0,278.0,370.0,277.0,247.0,344.0,16511.0,11.0,11.0,4169.0,9.0,401.0,2.0,4.0,1.0,0.0,0.0
Sweden,26,4,22,0.15384615384615385,0.0,0.0,612.0,59.0,22.0,494.0,56.0,19.0,31.0,4.0,42.0,14.0,8.0,0.0,23.0,27.0,587.0,0.0,0.0,178.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0
Switzerland,26,20,6,0.7692307692307693,46.0,7.0,14141.0,1079.0,494.0,12344.0,540.0,241.0,261.0,229.0,778.0,336.0,332.0,68.0,303.0,318.0,15255.0,3.0,3.0,3945.0,20.0,279.0,4.0,0.0,2.0,0.0,0.0
Tunisia,26,11,15,0.4230769230769231,13.0,0.0,1844.0,196.0,88.0,1490.0,141.0,64.0,51.0,28.0,176.0,55.0,29.0,35.0,46.0,52.0,2057.0,6.0,6.0,752.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0
Türkiye,26,22,4,0.8461538461538461,21.0,11.0,4286.0,366.0,176.0,3706.0,197.0,83.0,106.0,92.0,296.0,123.0,88.0,230.0,133.0,90.0,4701.0,4.0,4.0,1286.0,2.0,104.0,2.0,1.0,4.0,0.0,0.0
USA,26,16,10,0.6153846153846154,14.0,1.0,4225.0,442.0,177.0,3749.0,128.0,117.0,159.0,62.0,241.0,78.0,117.0,89.0,75.0,146.0,4567.0,4.0,4.0,1163.0,6.0,112.0,1.0,3.0,0.0,0.0,0.0
Uruguay,26,18,8,0.6923076923076923,19.0,4.0,4441.0,501.0,228.0,3960.0,250.0,124.0,106.0,84.0,364.0,146.0,141.0,184.0,111.0,109.0,5093.0,4.0,3.0,1588.0,12.0,137.0,2.0,1.0,0.0,0.0,0.0
Uzbekistan,26,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
